seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	11865434	11865468	35	*	X0079	254427	11865397	11914276	48880	+	0	inside	36	PROSER2
chr10	119805978	119806505	528	*	X0080	22841	119764427	119806114	41688	-	0	overlapStart	0	RAB11FIP2
chr10	119805978	119806505	528	*	X0080	255082	119806332	119969665	163334	+	0	overlapStart	0	CASC2
chr10	119806547	119806605	59	*	X0081	22841	119764427	119806114	41688	-	432	upstream	432	RAB11FIP2
chr10	119806547	119806605	59	*	X0081	255082	119806332	119969665	163334	+	0	inside	214	CASC2
chr10	120840226	120840570	345	*	X0083	8661	120794541	120840334	45794	-	0	overlapStart	0	EIF3A
chr10	120938210	120938236	27	*	X0084	10935	120927215	120938345	11131	-	0	inside	108	PRDX3
chr10	121356096	121356452	357	*	X0085	7073	121332978	121356541	23564	-	0	inside	88	TIAL1
chr10	121356482	121356539	58	*	X0086	7073	121332978	121356541	23564	-	0	inside	1	TIAL1
chr10	121356816	121356830	15	*	X0087	7073	121332978	121356541	23564	-	274	upstream	274	TIAL1
chr10	121356857	121356874	18	*	X0088	7073	121332978	121356541	23564	-	315	upstream	315	TIAL1
chr10	121410620	121410746	127	*	X0089	9531	121410882	121437329	26448	+	135	upstream	135	BAG3
chr10	121410918	121411050	133	*	X0090	9531	121410882	121437329	26448	+	0	inside	35	BAG3
chr10	121651958	121652302	345	*	X0094	11196	121652085	121704170	52086	+	0	overlapStart	0	SEC23IP
chr10	12237792	12238317	526	*	X0095	11164	12209573	12238143	28571	-	0	overlapStart	0	NUDT5
chr10	12237792	12238317	526	*	X0095	8872	12237961	12292589	54629	+	0	overlapStart	0	CDC123
chr10	122610556	122610566	11	*	X0096	283089	122521324	122610691	89368	-	0	inside	124	WDR11-AS1
chr10	122610556	122610566	11	*	X0096	55717	122610687	122669038	58352	+	120	upstream	120	WDR11
chr10	122610579	122610635	57	*	X0097	283089	122521324	122610691	89368	-	0	inside	55	WDR11-AS1
chr10	122610579	122610635	57	*	X0097	55717	122610687	122669038	58352	+	51	upstream	51	WDR11
chr10	122610862	122611086	225	*	X0098	283089	122521324	122610691	89368	-	170	upstream	170	WDR11-AS1
chr10	122610862	122611086	225	*	X0098	55717	122610687	122669038	58352	+	0	inside	174	WDR11
chr10	123687453	123687937	485	*	X0099	11101	123502625	123688217	185593	-	0	inside	279	ATE1
chr10	123734670	123734810	141	*	X0101	54780	123716603	123734743	18141	-	0	overlapStart	0	NSMCE4A
chr10	124134190	124134398	209	*	X0102	59338	124134094	124191871	57778	+	0	inside	95	PLEKHA1
chr10	124713596	124713773	178	*	X0103	80007	124690419	124713919	23501	-	0	inside	145	C10orf88
chr10	124739802	124740102	301	*	X0104	118672	124739556	124749923	10368	+	0	inside	245	PSTK
chr10	126150410	126150590	181	*	X0105	64077	126150341	126302710	152370	+	0	inside	68	LHPP
chr10	126480258	126480511	254	*	X0106	399818	126447406	126480439	33034	-	0	overlapStart	0	EEF1AKMT2
chr10	126480258	126480511	254	*	X0106	9679	126305649	126478907	173259	-	1350	upstream	1350	FAM53B
chr10	126480577	126480765	189	*	X0107	399818	126447406	126480439	33034	-	137	upstream	137	EEF1AKMT2
chr10	126480577	126480765	189	*	X0107	9679	126305649	126478907	173259	-	1669	upstream	1669	FAM53B
chr10	126490303	126490411	109	*	X0108	23172	126490354	126525239	34886	+	0	overlapStart	0	ABRAXAS2
chr10	127511759	127512211	453	*	X0109	56647	127512104	127542264	30161	+	0	overlapStart	0	BCCIP
chr10	127511759	127512211	453	*	X0109	7390	127477147	127511837	34691	-	0	overlapStart	0	UROS
chr10	131934697	131934767	71	*	X0111	10539	131934639	131982785	48147	+	0	inside	57	GLRX3
chr10	13203843	13203857	15	*	X0112	55388	13203554	13253104	49551	+	0	inside	288	MCM10
chr10	134145208	134145373	166	*	X0114	80313	134145614	134195010	49397	+	240	upstream	240	LRRC27
chr10	134145800	134145817	18	*	X0115	282974	134020996	134146063	125068	-	0	inside	245	STK32C
chr10	134145800	134145817	18	*	X0115	80313	134145614	134195010	49397	+	0	inside	185	LRRC27
chr10	135207669	135207873	205	*	X0116	92170	135207621	135234174	26554	+	0	inside	47	MTG1
chr10	13629013	13629106	94	*	X0117	8559	13628939	13697929	68991	+	0	inside	73	PRPF18
chr10	14880377	14880413	37	*	X0119	441549	14861251	14880574	19324	-	0	inside	160	CDNF
chr10	14880377	14880413	37	*	X0119	51182	14880159	14913740	33582	+	0	inside	217	HSPA14
chr10	14920498	14920623	126	*	X0120	79723	14920782	14946304	25523	+	158	upstream	158	SUV39H2
chr10	14920867	14920936	70	*	X0121	79723	14920782	14946304	25523	+	0	inside	84	SUV39H2
chr10	15001666	15001978	313	*	X0122	644890	15001438	15014850	13413	+	0	inside	227	MEIG1
chr10	15139128	15139595	468	*	X0123	10557	15139179	15146256	7078	+	0	overlapStart	0	RPP38
chr10	15139128	15139595	468	*	X0123	221060	15137384	15139318	1935	-	0	overlapStart	0	RPP38-DT
chr10	17243314	17243870	557	*	X0124	1787	17184982	17244070	59089	-	0	inside	199	TRDMT1
chr10	18948320	18948365	46	*	X0128	221079	18948313	18966940	18628	+	0	inside	6	ARL5B
chr10	21463425	21463580	156	*	X0129	10529	21068903	21463116	394214	-	308	upstream	308	NEBL
chr10	21814827	21814932	106	*	X0131	387640	21802409	21814611	12203	-	215	upstream	215	SKIDA1
chr10	21816060	21816079	20	*	X0132	387640	21802409	21814611	12203	-	1448	upstream	1448	SKIDA1
chr10	22610200	22610544	345	*	X0140	648	22610139	22620414	10276	+	0	inside	60	BMI1
chr10	23384478	23384633	156	*	X0141	22921	23384427	23410942	26516	+	0	inside	50	MSRB2
chr10	23384658	23384676	19	*	X0142	22921	23384427	23410942	26516	+	0	inside	230	MSRB2
chr10	25305510	25305709	200	*	X0143	79896	25305508	25315593	10086	+	0	inside	1	THNSL1
chr10	25305769	25306042	274	*	X0144	79896	25305508	25315593	10086	+	0	inside	260	THNSL1
chr10	27792971	27792989	19	*	X0147	22931	27793103	27831166	38064	+	113	upstream	113	RAB18
chr10	27793001	27793047	47	*	X0148	22931	27793103	27831166	38064	+	55	upstream	55	RAB18
chr10	27793153	27793461	309	*	X0149	22931	27793103	27831166	38064	+	0	inside	49	RAB18
chr10	28821511	28821590	80	*	X0151	220906	28808846	28821460	12615	-	50	upstream	50	WAC-AS1
chr10	28821511	28821590	80	*	X0151	51322	28821422	28912041	90620	+	0	inside	88	WAC
chr10	28821705	28821715	11	*	X0152	220906	28808846	28821460	12615	-	244	upstream	244	WAC-AS1
chr10	28821705	28821715	11	*	X0152	51322	28821422	28912041	90620	+	0	inside	282	WAC
chr10	28821878	28821892	15	*	X0153	220906	28808846	28821460	12615	-	417	upstream	417	WAC-AS1
chr10	28822741	28822809	69	*	X0154	220906	28808846	28821460	12615	-	1280	upstream	1280	WAC-AS1
chr10	3109815	3109834	20	*	X0156	5214	3109712	3178997	69286	+	0	inside	102	PFKP
chr10	3214804	3214855	52	*	X0159	10531	3179116	3215033	35918	-	0	inside	177	PITRM1
chr10	32217624	32217778	155	*	X0162	94134	32094326	32217804	123479	-	0	inside	25	ARHGAP12
chr10	32217796	32217801	6	*	X0163	94134	32094326	32217804	123479	-	0	inside	2	ARHGAP12
chr10	32345069	32345122	54	*	X0166	3799	32297938	32345371	47434	-	0	inside	248	KIF5B
chr10	32345156	32345379	224	*	X0167	3799	32297938	32345371	47434	-	0	overlapStart	0	KIF5B
chr10	32735209	32735251	43	*	X0172	221016	32735041	32863492	128452	+	0	inside	167	NA
chr10	35379282	35379379	98	*	X0178	8453	35297479	35379570	82092	-	0	inside	190	CUL2
chr10	35379423	35379452	30	*	X0179	8453	35297479	35379570	82092	-	0	inside	117	CUL2
chr10	35379471	35379618	148	*	X0180	8453	35297479	35379570	82092	-	0	overlapStart	0	CUL2
chr10	35379632	35379645	14	*	X0181	8453	35297479	35379570	82092	-	61	upstream	61	CUL2
chr10	35415821	35415846	26	*	X0182	1390	35415769	35501886	86118	+	0	inside	51	CREM
chr10	35416024	35416207	184	*	X0183	1390	35415769	35501886	86118	+	0	inside	254	CREM
chr10	35929982	35930110	129	*	X0184	8325	35927177	35930362	3186	-	0	inside	251	FZD8
chr10	38265254	38265311	58	*	X0186	219749	38238795	38265453	26659	-	0	inside	141	ZNF25
chr10	3827079	3827364	286	*	X0188	1316	3818188	3827473	9286	-	0	inside	108	KLF6
chr10	3827685	3827876	192	*	X0189	1316	3818188	3827473	9286	-	211	upstream	211	KLF6
chr10	43048231	43048241	11	*	X0190	100129482	43008961	43048280	39320	-	0	inside	38	ZNF37BP
chr10	43133577	43134060	484	*	X0192	7582	43069631	43133992	64362	-	0	overlapStart	0	ZNF33B
chr10	43134137	43134175	39	*	X0193	7582	43069631	43133992	64362	-	144	upstream	144	ZNF33B
chr10	43277913	43278416	504	*	X0194	9790	43277954	43330385	52432	+	0	overlapStart	0	BMS1
chr10	43904409	43904484	76	*	X0202	3185	43881065	43904696	23632	-	0	inside	211	HNRNPF
chr10	44144219	44144237	19	*	X0204	7580	44139307	44144326	5020	-	0	inside	88	ZNF32
chr10	45454934	45454950	17	*	X0205	220980	45306472	45455137	148666	-	0	inside	186	TMEM72-AS1
chr10	45454934	45454950	17	*	X0205	83937	45455219	45490172	34954	+	268	upstream	268	RASSF4
chr10	46090157	46090348	192	*	X0206	220972	45952817	46090354	137538	-	0	inside	5	MARCHF8
chr10	46222785	46222830	46	*	X0207	253725	46222648	46288412	65765	+	0	inside	136	WASHC2C
chr10	49514740	49514816	77	*	X0209	5599	49514786	49643183	128398	+	0	overlapStart	0	MAPK8
chr10	50970196	50970290	95	*	X0210	55753	50942687	50970425	27739	-	0	inside	134	OGDHL
chr10	51565215	51565260	46	*	X0211	8031	51565108	51590734	25627	+	0	inside	106	NCOA4
chr10	51623292	51623473	182	*	X0213	100287932	51592081	51623386	31306	-	0	overlapStart	0	TIMM23
chr10	51827484	51827810	327	*	X0214	326332	51780942	51827563	46622	-	0	overlapStart	0	NA
chr10	51827484	51827810	327	*	X0214	387680	51827684	51893269	65586	+	0	overlapStart	0	WASHC2A
chr10	52384373	52384681	309	*	X0216	259230	52065345	52384923	319579	-	0	inside	241	SGMS1
chr10	52499581	52499888	308	*	X0217	653308	52499688	52514569	14882	+	0	overlapStart	0	ASAH2B
chr10	53459238	53459657	420	*	X0218	23283	53455246	53459355	4110	-	0	overlapStart	0	CSTF2T
chr10	5708383	5708423	41	*	X0220	79754	5680820	5708558	27739	-	0	inside	134	ASB13
chr10	5708441	5708470	30	*	X0221	79754	5680820	5708558	27739	-	0	inside	87	ASB13
chr10	5726877	5726907	31	*	X0222	54906	5726801	5805703	78903	+	0	inside	75	TASOR2
chr10	58121027	58121058	32	*	X0224	11130	58117199	58121034	3836	-	0	overlapStart	0	ZWINT
chr10	5855264	5855357	94	*	X0226	2665	5807186	5855512	48327	-	0	inside	154	GDI2
chr10	5855710	5855797	88	*	X0227	2665	5807186	5855512	48327	-	197	upstream	197	GDI2
chr10	5930939	5930987	49	*	X0228	84893	5931535	5979558	48024	+	547	upstream	547	FBH1
chr10	5931650	5931729	80	*	X0229	54522	5903689	5931860	28172	-	0	inside	130	ANKRD16
chr10	5931650	5931729	80	*	X0229	84893	5931535	5979558	48024	+	0	inside	114	FBH1
chr10	60094735	60094920	186	*	X0230	7321	60094739	60130513	35775	+	0	overlapStart	0	UBE2D1
chr10	60144791	60145287	497	*	X0231	7019	60144903	60158990	14088	+	0	overlapStart	0	TFAM
chr10	6130953	6131042	90	*	X0232	84991	6130949	6159422	28474	+	0	inside	3	RBM17
chr10	6131106	6131202	97	*	X0233	84991	6130949	6159422	28474	+	0	inside	156	RBM17
chr10	61666121	61666454	334	*	X0235	8030	61548506	61666414	117909	-	0	overlapStart	0	CCDC6
chr10	62538193	62538425	233	*	X0239	983	62538089	62554610	16522	+	0	inside	103	CDK1
chr10	62760790	62760931	142	*	X0240	9886	62629198	62761198	132001	-	0	inside	266	RHOBTB1
chr10	64028378	64028414	37	*	X0241	219790	63942794	64028466	85673	-	0	inside	51	RTKN2
chr10	64893074	64893178	105	*	X0242	29982	64893007	64914786	21780	+	0	inside	66	NRBF2
chr10	65224899	65225802	904	*	X0243	221037	64926988	65225722	298735	-	0	overlapStart	0	JMJD1C
chr10	65224899	65225802	904	*	X0243	84989	65224989	65226322	1334	+	0	overlapStart	0	JMJD1C-AS1
chr10	65225940	65225940	1	*	X0244	221037	64926988	65225722	298735	-	217	upstream	217	JMJD1C
chr10	65280508	65280815	308	*	X0245	221035	65281123	65384883	103761	+	307	upstream	307	REEP3
chr10	65280837	65280852	16	*	X0246	221035	65281123	65384883	103761	+	270	upstream	270	REEP3
chr10	65280869	65281007	139	*	X0247	221035	65281123	65384883	103761	+	115	upstream	115	REEP3
chr10	69644402	69644529	128	*	X0252	23411	69644427	69678147	33721	+	0	overlapStart	0	SIRT1
chr10	69834855	69835063	209	*	X0256	26091	69681656	69835103	153448	-	0	inside	39	HERC4
chr10	70091505	70092029	525	*	X0258	3189	70091768	70102953	11186	+	0	overlapStart	0	HNRNPH3
chr10	70092470	70092513	44	*	X0259	64081	70042417	70092684	50268	-	0	inside	170	PBLD
chr10	70166919	70166972	54	*	X0260	55680	70100864	70167051	66188	-	0	inside	78	RUFY2
chr10	70231417	70231766	350	*	X0261	1763	70173821	70231878	58058	-	0	inside	111	DNA2
chr10	70320032	70320057	26	*	X0262	80312	70320117	70454239	134123	+	59	upstream	59	TET1
chr10	70661256	70661289	34	*	X0264	79009	70661034	70706603	45570	+	0	inside	221	DDX50
chr10	70883990	70884117	128	*	X0265	9559	70883908	70932616	48709	+	0	inside	81	VPS26A
chr10	70939924	70940075	152	*	X0266	6832	70939993	70968849	28857	+	0	overlapStart	0	SUPV3L1
chr10	71930252	71930319	68	*	X0267	56681	71909961	71930285	20325	-	0	overlapStart	0	SAR1A
chr10	71930459	71930595	137	*	X0268	56681	71909961	71930285	20325	-	173	upstream	173	SAR1A
chr10	71993026	71993069	44	*	X0269	5464	71962586	71993190	30605	-	0	inside	120	PPA1
chr10	72575718	72575750	33	*	X0270	8879	72575704	72640932	65229	+	0	inside	13	SGPL1
chr10	72972429	72972526	98	*	X0271	219699	72972292	73062635	90344	+	0	inside	136	UNC5B
chr10	73610851	73610874	24	*	X0273	5660	73576055	73611082	35028	-	0	inside	207	PSAP
chr10	73610893	73610903	11	*	X0274	5660	73576055	73611082	35028	-	0	inside	178	PSAP
chr10	73724193	73724261	69	*	X0275	9469	73724120	73773322	49203	+	0	inside	72	CHST3
chr10	74033711	74033904	194	*	X0278	54541	74033677	74035797	2121	+	0	inside	33	DDIT4
chr10	74114308	74114797	490	*	X0280	54788	74092588	74114907	22320	-	0	inside	109	DNAJB12
chr10	74856415	74856852	438	*	X0282	5033	74766980	74856732	89753	-	0	overlapStart	0	P4HA1
chr10	74927760	74927928	169	*	X0283	11319	74894282	74927853	33572	-	0	overlapStart	0	ECD
chr10	74927760	74927928	169	*	X0283	317662	74927877	75001939	74063	+	0	overlapStart	0	FAM149B1
chr10	75006627	75007228	602	*	X0284	414245	75007125	75036742	29618	+	0	overlapStart	0	DNAJC9-AS1
chr10	75255314	75255548	235	*	X0285	5532	75196563	75255782	59220	-	0	inside	233	PPP3CB
chr10	75490004	75490585	582	*	X0288	2749	75491299	75495367	4069	+	713	upstream	713	GLUD1P3
chr10	75490004	75490585	582	*	X0288	729092	75434033	75490272	56240	-	0	overlapStart	0	AGAP5
chr10	75490004	75490585	582	*	X0288	729096	75458909	75490272	31364	-	0	overlapStart	0	BMS1P4
chr10	75503914	75503950	37	*	X0289	9632	75504131	75531933	27803	+	180	upstream	180	SEC24C
chr10	75503994	75504240	247	*	X0290	9632	75504131	75531933	27803	+	0	overlapStart	0	SEC24C
chr10	75531978	75532842	865	*	X0291	170384	75532049	75535976	3928	+	0	overlapStart	0	FUT11
chr10	75541840	75541853	14	*	X0292	118487	75541808	75543406	1599	+	0	inside	31	CHCHD1
chr10	75545152	75545204	53	*	X0293	23053	75545382	75561556	16175	+	177	upstream	177	ZSWIM8
chr10	75545220	75545233	14	*	X0294	23053	75545382	75561556	16175	+	148	upstream	148	ZSWIM8
chr10	75545245	75545293	49	*	X0295	23053	75545382	75561556	16175	+	88	upstream	88	ZSWIM8
chr10	75571365	75571602	238	*	X0297	8509	75561669	75571589	9921	-	0	overlapStart	0	NDST2
chr10	76585293	76585701	409	*	X0300	23522	76586171	76792380	206210	+	469	upstream	469	KAT6B
chr10	76871351	76871468	118	*	X0301	142891	76871393	76941881	70489	+	0	overlapStart	0	SAMD8
chr10	7830177	7830302	126	*	X0306	22944	7792925	7829990	37066	-	186	upstream	186	KIN
chr10	7830177	7830302	126	*	X0306	509	7830093	7849762	19670	+	0	inside	83	ATP5F1C
chr10	7860221	7860343	123	*	X0307	83860	7860467	8057016	196550	+	123	upstream	123	TAF3
chr10	7860381	7860643	263	*	X0308	83860	7860467	8057016	196550	+	0	overlapStart	0	TAF3
chr10	79793622	79793748	127	*	X0309	6229	79793518	79816571	23054	+	0	inside	103	RPS24
chr10	79793763	79793791	29	*	X0310	6229	79793518	79816571	23054	+	0	inside	244	RPS24
chr10	81107240	81107388	149	*	X0311	10105	81107220	81115089	7870	+	0	inside	19	PPIF
chr10	81664411	81664745	335	*	X0312	100288974	81664654	81691574	26921	+	0	overlapStart	0	BMS1P21
chr10	85899283	85899459	177	*	X0313	27069	85899185	85913311	14127	+	0	inside	97	GHITM
chr10	86088415	86088554	140	*	X0315	54462	86088410	86278276	189867	+	0	inside	4	CCSER2
chr10	89102540	89102665	126	*	X0316	728190	88965545	89102315	136771	-	224	upstream	224	NUTM2A-AS1
chr10	89102682	89102694	13	*	X0317	728190	88965545	89102315	136771	-	366	upstream	366	NUTM2A-AS1
chr10	89577872	89577896	25	*	X0319	142913	89578070	89605369	27300	+	173	upstream	173	CFL1P1
chr10	89577872	89577896	25	*	X0319	84896	89512875	89577917	65043	-	0	inside	20	ATAD1
chr10	89577935	89577958	24	*	X0320	142913	89578070	89605369	27300	+	111	upstream	111	CFL1P1
chr10	89577935	89577958	24	*	X0320	84896	89512875	89577917	65043	-	17	upstream	17	ATAD1
chr10	89622000	89622165	166	*	X0321	5728	89623195	89728532	105338	+	1029	upstream	1029	PTEN
chr10	89622294	89622331	38	*	X0322	5728	89623195	89728532	105338	+	863	upstream	863	PTEN
chr10	89623101	89623141	41	*	X0323	100144748	89618918	89623194	4277	-	0	inside	52	KLLN
chr10	89623101	89623141	41	*	X0323	5728	89623195	89728532	105338	+	53	upstream	53	PTEN
chr10	89623382	89623477	96	*	X0324	100144748	89618918	89623194	4277	-	187	upstream	187	KLLN
chr10	89623382	89623477	96	*	X0324	5728	89623195	89728532	105338	+	0	inside	186	PTEN
chr10	91174356	91174433	78	*	X0327	24138	91174325	91180759	6435	+	0	inside	30	IFIT5
chr10	91174356	91174433	78	*	X0327	3988	90973326	91174382	201057	-	0	overlapStart	0	LIPA
chr10	91174450	91174636	187	*	X0328	24138	91174325	91180759	6435	+	0	inside	124	IFIT5
chr10	91174450	91174636	187	*	X0328	3988	90973326	91174382	201057	-	67	upstream	67	LIPA
chr10	91405300	91405326	27	*	X0331	53354	91339254	91405329	66076	-	0	inside	2	PANK1
chr10	91461380	91461406	27	*	X0332	9585	91461367	91534700	73334	+	0	inside	12	KIF20B
chr10	91461436	91461546	111	*	X0333	9585	91461367	91534700	73334	+	0	inside	68	KIF20B
chr10	92631553	92631585	33	*	X0334	10556	92631275	92668312	37038	+	0	inside	277	RPP30
chr10	93169410	93169554	145	*	X0336	143279	93170096	93274520	104425	+	541	upstream	541	HECTD2
chr10	93169569	93169598	30	*	X0337	143279	93170096	93274520	104425	+	497	upstream	497	HECTD2
chr10	93169754	93170038	285	*	X0338	143279	93170096	93274520	104425	+	57	upstream	57	HECTD2
chr10	93558009	93558060	52	*	X0339	80351	93558151	93625232	67082	+	90	upstream	90	TNKS2
chr10	93558133	93558407	275	*	X0340	80351	93558151	93625232	67082	+	0	overlapStart	0	TNKS2
chr10	93683465	93683904	440	*	X0343	9044	93683736	93790080	106345	+	0	overlapStart	0	BTAF1
chr10	94050901	94051220	320	*	X0344	22849	93808397	94050875	242479	-	25	upstream	25	CPEB3
chr10	94050901	94051220	320	*	X0344	54708	94050920	94113721	62802	+	0	overlapStart	0	MARCHF5
chr10	94333536	94334037	502	*	X0345	3416	94211441	94333852	122412	-	0	overlapStart	0	IDE
chr10	94334054	94334075	22	*	X0346	3416	94211441	94333852	122412	-	201	upstream	201	IDE
chr10	94351307	94351416	110	*	X0347	3832	94352825	94415152	62328	+	1408	upstream	1408	KIF11
chr10	94351526	94351648	123	*	X0348	3832	94352825	94415152	62328	+	1176	upstream	1176	KIF11
